[INFO ] [2016-03-14 15:52:12, 252] core.FileScanner  - directory scan >> C:\VirtualData\test\HttpLog
[DEBUG] [2016-03-14 15:52:12, 254] core.FileScanner  - >>> PullLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-20.txt scan start
[DEBUG] [2016-03-14 15:52:12, 255] core.FileScanner  - <<< PullLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-20.txt scan end
[DEBUG] [2016-03-14 15:52:12, 255] core.FileScanner  - >>> HttpLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-20.txt scan start
[DEBUG] [2016-03-14 15:52:12, 256] core.FileScanner  - <<< HttpLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-20.txt scan end
[DEBUG] [2016-03-14 15:52:12, 257] core.FileScanner  - >>> PullLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-21.txt scan start
[DEBUG] [2016-03-14 15:52:12, 258] core.FileScanner  - <<< PullLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-21.txt scan end
[DEBUG] [2016-03-14 15:52:12, 258] core.FileScanner  - >>> HttpLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-21.txt scan start
[DEBUG] [2016-03-14 15:52:12, 259] core.FileScanner  - <<< HttpLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-21.txt scan end
[DEBUG] [2016-03-14 15:52:12, 260] core.FileScanner  - >>> PullLog : C:\VirtualData\test\HttpLog\HttpLog_2015-10-21.txt scan start
[DEBUG] [2016-03-14 15:52:12, 265] core.FileScanner  - <<< PullLog : C:\VirtualData\test\HttpLog\HttpLog_2015-10-21.txt scan end
[DEBUG] [2016-03-14 15:52:12, 266] core.FileScanner  - >>> HttpLog : C:\VirtualData\test\HttpLog\HttpLog_2015-10-21.txt scan start
[DEBUG] [2016-03-14 15:52:12, 267] core.FileScanner  - <<< HttpLog : C:\VirtualData\test\HttpLog\HttpLog_2015-10-21.txt scan end
[INFO ] [2016-03-14 15:52:12, 267] core.FileScanner  - directory scan >> C:\VirtualData\test\PullLog
[DEBUG] [2016-03-14 15:52:12, 268] core.FileScanner  - >>> PullLog : C:\VirtualData\test\PullLog\PullLog_2015-09-20.txt scan start
